33,4950,3304,3837,4O,ABC Aerolineas SA de CV dba Interjet,CUN,LAX
36,3959,3305,0,DL,Delta Air Lines Inc.,MSP,YYC
62,4712,3310,0,OO,SkyWest Airlines Inc.,ORD,MTY
11,3784,3311,459914,DY,Norwegian Air Shuttle ASA,ARN,JFK
24,3840,3313,0,B6,JetBlue Airways,UVF,JFK
32,5696,3313,0,AS,Alaska Airlines Inc.,YVR,SEA
33,4818,3322,0,AC,Air Canada,YYZ,PBI
26,3744,3325,2858,LP,Lan Peru Airlines,LIM,MCO
28,4004,3325,0,WN,Southwest Airlines Co.,PVR,DEN
50,3800,3328,0,YX,Republic Airline,PHL,YYZ
29,4901,3329,2595,UA,United Air Lines Inc.,IAD,LHR
28,4004,3331,0,WN,Southwest Airlines Co.,MBJ,HOU
30,4800,3332,0,B6,JetBlue Airways,BOS,BDA
28,4480,3333,0,AM,Aeromexico,MEX,SEA
103,5150,3334,0,ZX,Air Georgian,CMH,YYZ
10,3440,3335,20966,DY,Norwegian Air Shuttle ASA,FLL,ARN
13,3731,3335,125739,MF,Xiamen Airlines Co. Ltd.,FOC,JFK
23,4094,3335,0,AS,Alaska Airlines Inc.,SJC,SJD
13,3666,3338,0,RV,Air Canada rouge LP,YVR,PSP
15,3870,3341,535370,VS,Virgin Atlantic Airways,LHR,JFK
52,3951,3341,0,CP,Compass Airlines,SEA,YEG
14,3766,3342,100653,UA,United Air Lines Inc.,SFO,PEK
20,4080,3342,324141,AA,American Airlines Inc.,MXP,MIA
13,3731,3343,183966,MF,Xiamen Airlines Co. Ltd.,LAX,XMN
18,4140,3347,0,F9,Frontier Airlines Inc.,CUN,CLE
17,3978,3348,100622,DL,Delta Air Lines Inc.,LOS,ATL
58,4408,3348,0,YX,Republic Airline,PLS,MIA
23,3657,3350,0,AS,Alaska Airlines Inc.,GDL,SJC
31,4433,3350,0,WN,Southwest Airlines Co.,OAK,SJD
13,4185,3359,211354,FJ,Air Pacific Ltd.,NAN,LAX
38,5434,3362,0,WN,Southwest Airlines Co.,LAX,SJD
32,4900,3365,0,4O,ABC Aerolineas SA de CV dba Interjet,LAS,MEX
26,3476,3368,0,WS,Westjet,YYC,PSP
31,3968,3368,0,AA,American Airlines Inc.,CAP,MIA
28,4732,3369,270776,NH,All Nippon Airways Co.,SJC,NRT
13,3666,3371,0,RV,Air Canada rouge LP,PSP,YVR
23,3678,3371,0,DL,Delta Air Lines Inc.,ATL,SJD
28,5040,3373,0,VB,Aeroenlaces Nacionales S.A. de C.V. d/b/a VivaAerobus,LAS,MEX
27,3606,3375,0,WS,Westjet,YVR,SNA
28,4200,3378,0,AV,Aerovias Nacl De Colombia,FLL,BOG
24,5136,3380,39023,UA,United Air Lines Inc.,IAD,GVA
17,3587,3387,271685,AC,Air Canada,LAX,YYZ
20,3740,3388,3090,AA,American Airlines Inc.,CLT,NAS
87,4350,3388,0,ZX,Air Georgian,YYZ,IAD
22,3520,3392,0,DL,Delta Air Lines Inc.,CTG,ATL
50,3750,3393,0,QK,Jazz Aviation LP,YVR,SAN
31,4433,3397,0,WN,Southwest Airlines Co.,PUJ,FLL
31,4433,3401,0,WN,Southwest Airlines Co.,CUN,AUS
24,3816,3403,0,AS,Alaska Airlines Inc.,GDL,LAX
13,4017,3407,92477,CZ,China Southern Airlines,CAN,LAX
29,4147,3407,0,WN,Southwest Airlines Co.,MBJ,MCO
